Title;Rank;ISSN;Publisher;SJR;SJR Quartile
Journal of Causal Inference;64;"21933685, 21933677";Walter de Gruyter GmbH;0.840;Q1
Statistical Methods in Medical Research;47;"14770334, 09622802";SAGE Publications Ltd;0.972;Q1
Journal of the Royal Statistical Society. Series B;8;"14679868, 13697412";Oxford University Press;3.308;Q1
Journal of Machine Learning Research;15;"15337928, 15324435";Microtome Publishing;2.019;Q1
Statistics in Medicine;30;"02776715, 10970258";John Wiley and Sons Ltd;1.268;Q1
Observational Studies;NOT FOUND;"2767-3324";Project MUSE;N/A;N/A

Empirical Economics;71;"14358921, 03777332";Physica-Verlag;0.760;Q2
Statistics and Computing;65;"09603174, 15731375";Springer Netherlands;0.815;Q2
Methods, Data, Analyses;114;"21904936, 18646956";GESIS - Leibniz Institute for the Social Sciences;0.510;Q2
